2458204.09107217   0.68184233   0.00074610
2458204.09351428   0.68241860   0.00073652
2458204.09591009   0.68187129   0.00073625
2458204.09829434   0.68150716   0.00071878
2458204.10547021   0.68098266   0.00070215
2458204.11264624   0.68279055   0.00070202
2458204.11982210   0.68313424   0.00068457
2458204.12698640   0.68216749   0.00066337
2458204.12938221   0.68141750   0.00066091
2458204.13176645   0.68064556   0.00064592
2458204.13416226   0.67664950   0.00064071
2458204.13654650   0.67562843   0.00064481
2458204.13893078   0.67291971   0.00063991
2458204.14132659   0.67066324   0.00062582
2458204.14371083   0.66981623   0.00062781
2458204.14610667   0.66952285   0.00062038
2458204.14850248   0.66837787   0.00062157
2458204.15328254   0.66765832   0.00061208
2458204.15806258   0.66634716   0.00061575
2458204.16284268   0.66630640   0.00061617
2458204.16762273   0.66668233   0.00061259
2458204.17240279   0.66443826   0.00061204
2458204.17718285   0.66554593   0.00061527
2458204.18196291   0.66492970   0.00061138
2458204.18673138   0.66514605   0.00061177
2458204.19151144   0.66676525   0.00060318
2458204.19629159   0.66733302   0.00060400
2458204.20107163   0.66633207   0.00060635
2458204.20346744   0.66812334   0.00060228
2458204.20585169   0.66821180   0.00060671
2458204.20824750   0.66869648   0.00061470
2458204.21063174   0.66925889   0.00061207
2458204.21301597   0.67067010   0.00060922
2458204.21541179   0.67214521   0.00059934
2458204.21780760   0.67536156   0.00060156
2458204.22019184   0.67725664   0.00059908
2458204.22497189   0.68127134   0.00059334
2458204.23214775   0.68277321   0.00058815
2458204.23931203   0.68162192   0.00056575
2458204.24647633   0.68153838   0.00055909
2458204.25364064   0.68225892   0.00054557
2458204.26081650   0.68124981   0.00052393
2458204.26799236   0.68110061   0.00050544
2458204.27515665   0.68154079   0.00050045
